,recipe_shrt_name,recipe_id,preparation_time,preparation_time_unit,cook_time,cook_time_unit,total_time,total_time_unit,cuisine,course,diet,difficulty_level,rating,nutrition,URL
0,Aloo Chana Chaat,recid_aloo_chana_chaat,30,min,20,min,50,min,Indian,Snacks,Vegetarian,Moderate,4.6,Calories 120,https://www.vegrecipesofindia.com/aloo-chana-chaat-recipe/
1,Badam Halwa,recid_badam_halwa,45,min,20,min,65,min,Indian,Desserts,"Gluten Free, Vegetarian",Moderate,4.93,Calories 467,https://www.vegrecipesofindia.com/almond-halwa-badam-halwa-recipe/
2,Badam Kheer,recid_badam_kheer,30,min,20,min,50,min,Indian,Desserts,,,4.67,Calories 218,https://www.vegrecipesofindia.com/badam-kheer-recipe/
3,Badam Laddoo,recid_badam_laddoo,1,min,9,min,10,min,North Indian,Sweets,,,4.64,Calories 106,https://www.vegrecipesofindia.com/badam-ladoo-recipe/
4,Badam Milk,recid_badam_milk,35,min,5,min,40,min,"Mughlai, North Indian",Beverages,,,5.0,Calories 246,https://www.vegrecipesofindia.com/badam-milk-recipe/
5,Baked Aloo Samosa,recid_baked_aloo_samosa,35,min,35,min,70,min,"North Indian, Punjabi",Snacks,,,4.89,Calories 114,https://www.vegrecipesofindia.com/baked-samosa-recipe/
6,Black Chickpeas Chaat,recid_black_chickpeas_chaat,10,min,20,min,30,min,Indian,Snacks,"Gluten Free, Vegan",Easy,4.75,Calories 213,https://www.vegrecipesofindia.com/kala-chana-chaat/
7,Butter Naan,recid_butter_naan,10,min,30,min,40,min,North Indian,Main Course,,,5.0,Calories 144,https://www.vegrecipesofindia.com/butter-naan-recipe-whole-wheat-butter-naan/
8,Butter Rava Dosa,recid_butter_rava_dosa,5,min,25,min,30,min,South Indian,Breakfast,Vegan,Easy,4.94,Calories 102,https://www.vegrecipesofindia.com/instant-butter-rava-dosa-recipe/
9,Cashew Pulao,recid_cashew_pulao,30,min,10,min,40,min,North Indian,Main Course,"Gluten Free, Vegetarian",Moderate,5.0,Calories 623,https://www.vegrecipesofindia.com/kaju-pulao-recipe-cashew-pulao/
10,Chana Biryani,recid_chana_biryani,45,min,30,min,75,min,"Hyderabadi, South Indian",Main Course,Vegetarian,Moderate,4.88,Calories 662,https://www.vegrecipesofindia.com/chole-biryani-recipe-chana-biryani/
11,Chana Pulao,recid_chana_pulao,20,min,30,min,50,min,North Indian,Main Course,Vegetarian,Moderate,,,https://www.vegrecipesofindia.com/chana-pulao/
12,Chana Sundal,recid_chana_sundal,5,min,30,min,35,min,"South Indian, Tamil Nadu","Side Dish, Snacks",Vegan,Moderate,5.0,Calories 120,https://www.vegrecipesofindia.com/chana-sundal/
13,Curd Rice,recid_curd_rice,15,min,5,min,20,min,"South Indian, Tamil Nadu","Main Course, Side Dish",,,4.98,Calories 230,https://www.vegrecipesofindia.com/curd-rice-how-to-make-curd-rice-thayir-sadam-bagala-bath/
14,Dry Fruits Burfi,recid_dry_fruits_burfi,20,min,5,min,25,min,North Indian,Sweets,,,4.91,Calories 99,https://www.vegrecipesofindia.com/dry-fruit-barfi-recipe/
15,Ghee Rice,recid_ghee_rice,30,min,20,min,50,min,South Indian,Main Course,"Gluten Free, Vegetarian",Easy,4.96,Calories 619,https://www.vegrecipesofindia.com/ghee-rice-recipe-rice-recipes/
16,Gulgule,recid_gulgule,5,min,20,min,25,min,Punjabi,Breakfast,Vegan,Easy,5.0,Calories 255,https://www.vegrecipesofindia.com/gulgule-recipe/
17,Hummus,recid_hummus,5,min,25,min,30,min,"Lebanese, World","Appetizers, Side Dish, Starters",Vegan,Easy,4.92,Calories 77,https://www.vegrecipesofindia.com/hummus-recipe/
18,Instant Ragi Dosa,recid_instant_ragi_dosa,15,min,25,min,40,min,South Indian,Breakfast,"Gluten Free, Vegetarian",Easy,4.88,Calories 345,https://www.vegrecipesofindia.com/ragi-dosa/
19,Instant Ragi Dosa,recid_instant_ragi_dosa,10,min,30,min,40,min,South Indian,Breakfast,Vegan,Moderate,4.88,Calories 345,https://www.vegrecipesofindia.com/ragi-dosa/
20,Jaggery Rice,recid_jaggery_rice,30,min,10,min,40,min,Pakistani,Main Course,"Gluten Free, Vegan",Moderate,4.91,Calories 606,https://www.vegrecipesofindia.com/jaggery-rice-recipe-gur-walay-chawal/
21,Jaggery Roti,recid_jaggery_roti,30,min,20,min,50,min,"North Indian, Punjabi","Snacks, Sweets",,,4.75,Calories 213,https://www.vegrecipesofindia.com/gur-ki-roti-recipe-jaggery-roti/
22,Jammu Style Rajma Recipe,recid_jammu_style_rajma_recipe,10,min,45,min,55,min,Punjabi,Main Course,Vegetarian,Easy,4.89,Calories 210,https://www.vegrecipesofindia.com/rajma-masala-recipe-jammu-style/
23,Jeera Rice,recid_jeera_rice,30,min,25,min,55,min,North Indian,Main Course,,,4.95,Calories 324,https://www.vegrecipesofindia.com/jeera-rice-recipe-cumin-rice/
24,Kada Prashad,recid_kada_prashad,5,min,25,min,30,min,"North Indian, Punjabi","Desserts, Sweets",,,4.87,Calories 151,https://www.vegrecipesofindia.com/kada-prashad-recipe/
25,Kadala Curry - Kerala Cuisine,recid_kadala_curry__kerala_cuisine,30,min,25,min,55,min,"Kerala, South Indian",Main Course,Vegetarian,Moderate,4.9,Calories 327,https://www.vegrecipesofindia.com/kadala-curry-recipe-kadala-kari/
26,Kaju Curry,recid_kaju_curry,30,min,30,min,60,min,"North Indian, Punjabi",Main Course,Vegetarian,Moderate,4.85,Calories 336,https://www.vegrecipesofindia.com/kaju-butter-masala-recipe/
27,Kaju Katli,recid_kaju_katli,5,min,15,min,20,min,Indian,"Desserts, Sweets","Gluten Free, Vegan, Vegetarian",Moderate,4.78,Calories 87,https://www.vegrecipesofindia.com/kaju-katli-recipe-kaju-katli/
28,Kala Chana Ghugni - Bihari Cuisine,recid_kala_chana_ghugni__bihari_cuisine,10,min,20,min,30,min,Bihari,Main Course,"Gluten Free, Vegan",Moderate,5.0,Calories 260,https://www.vegrecipesofindia.com/kala-chana-ghugni-recipe/
29,Kala Chana Sundal,recid_kala_chana_sundal,5,min,30,min,35,min,"South Indian, Tamil Nadu","Side Dish, Snacks",Vegan,Moderate,4.75,Calories 172,https://www.vegrecipesofindia.com/kala-chana-sundal-ganesh-chaturthi/
30,Kala Chana Usal - Malvani Recipe,recid_kala_chana_usal__malvani_recipe,10,min,30,min,40,min,"North Indian, Punjabi",Main Course,"Vegan, Vegetarian",Moderate,4.92,,https://www.vegrecipesofindia.com/kala-chana-usal-or-black-chana-usal/
31,Kesari bath,recid_kesari_bath,5,min,15,min,20,min,"Karnataka, South Indian",Sweets,,,4.88,Calories 876,https://www.vegrecipesofindia.com/kesari-bhath-recipe/
32,Khasta Roti,recid_khasta_roti,25,min,20,min,45,min,North Indian,Main Course,,,,,https://www.vegrecipesofindia.com/khasta-roti-recipe/
33,Kuska Rice (Plain Biryani),recid_kuska_rice_plain_biryani,30,min,15,min,45,min,South Indian,Main Course,,,4.86,Calories 481,https://www.vegrecipesofindia.com/kuska-biryani-recipe-kuska-rice/
34,Masala Paratha,recid_masala_paratha,35,min,25,min,60,min,North Indian,"Breakfast, Main Course",Vegetarian,Moderate,5.0,Calories 164,https://www.vegrecipesofindia.com/masala-paratha-recipe/
35,Masala Poori,recid_masala_poori,35,min,30,min,65,min,"Gujarati, Maharashtrian","Breakfast, Main Course, Snacks",Vegetarian,Moderate,4.5,Calories 92,
36,Matar Pulao,recid_matar_pulao,10,min,15,min,25,min,"Indian, Punjabi",Main Course,"Gluten Free, Vegan, Vegetarian",Easy,4.96,Calories 364,https://www.vegrecipesofindia.com/matar-pulao-peas-pulao-recipe/
37,Milk Kesari,recid_milk_kesari,15,min,15,min,30,min,South Indian,"Desserts, Sweets",,,4.67,Calories 598,https://www.vegrecipesofindia.com/milk-kesari-recipe/
38,Mishti Doi,recid_mishti_doi,5,min,30,min,35,min,Bengali,"Desserts, Sweets",,,4.94,Calories 149,https://www.vegrecipesofindia.com/mishti-doi-recipe/
39,Neer Dosa,recid_neer_dosa,10,min,30,min,40,min,"Karnataka, South Indian",Breakfast,"Gluten Free, Vegan",Moderate,4.82,Calories 55,https://www.vegrecipesofindia.com/neer-dosa-recipe/
40,Ney Choru - Kerala Style Ghee Rice,recid_ney_choru__kerala_style_ghee_rice,15,min,25,min,40,min,"Kerala, South Indian",Main Course,"Gluten Free, Vegetarian",Easy,5.0,Calories 423,https://www.vegrecipesofindia.com/nei-choru-recipe-ney-choru/
41,Nolen Gurer Payesh - Bengali Recipe,recid_nolen_gurer_payesh__bengali_recipe,20,min,40,min,60,min,Bengali,"Desserts, Sweets",,,5.0,Calories 339,https://www.vegrecipesofindia.com/nolen-gurer-payesh-recipe/
42,Oatmeal Cookies,recid_oatmeal_cookies,5,min,25,min,30,min,"American, World","Desserts, Sweets",Vegetarian,Easy,4.93,Calories 109,https://www.vegrecipesofindia.com/oatmeal-cookies-recipe/
43,Oats Chilla,recid_oats_chilla,10,min,20,min,30,min,North Indian,"Breakfast, Snacks",,,4.96,Calories 117,https://www.vegrecipesofindia.com/oats-chilla-recipe-oats-cheela/
44,Oats Khichdi,recid_oats_khichdi,5,min,15,min,20,min,North Indian,Main Course,Vegetarian,Moderate,5.0,Calories 117,https://www.vegrecipesofindia.com/oats-khichdi-recipe/
45,Oats Uttapam,recid_oats_uttapam,20,min,20,min,40,min,South Indian,"Breakfast, Snacks",,,4.86,,https://www.vegrecipesofindia.com/oats-uttapam-recipe/
46,Oats kheer,recid_oats_kheer,5,min,10,min,15,min,North Indian,Desserts,,,5.0,Calories 547,https://www.vegrecipesofindia.com/oats-kheer-recipe/
47,Oats porridge,recid_oats_porridge,1,min,5,min,6,min,"American, World",Breakfast,Vegetarian,Easy,4.6,Calories 157,https://www.vegrecipesofindia.com/oats-porridge-recipe/
48,Onion Rava Dosa,recid_onion_rava_dosa,25,min,20,min,45,min,South Indian,Breakfast,"Vegan, Vegetarian",Easy,4.9,Calories 181,https://www.vegrecipesofindia.com/onion-rava-dosa-recipe-dosa-recipes/
49,Paal Payasam,recid_paal_payasam,10,min,50,min,60,min,"South Indian, Tamil Nadu",Desserts,,,5.0,Calories 276,
50,Panjiri,recid_panjiri,5,min,20,min,25,min,"North Indian, Punjabi",Sweets,,,4.96,Calories 711,https://www.vegrecipesofindia.com/panjiri-recipe/
51,Parsi Brown Rice,recid_parsi_brown_rice,5,min,15,min,20,min,Parsi,Main Course,"Gluten Free, Vegetarian",Moderate,5.0,Calories 1289,https://www.vegrecipesofindia.com/parsi-brown-rice/
52,Peanut Amti,recid_peanut_amti,15,min,10,min,25,min,"Indian, Maharashtrian",Side Dish,,,4.75,Calories 263,https://www.vegrecipesofindia.com/peanut-amti-peanut-curry-shengdanyachi-amti/
53,Peanut Chutney,recid_peanut_chutney,5,min,15,min,20,min,Indian,Side Dish,"Diabetic, Vegan",Easy,4.8,Calories 186,https://www.vegrecipesofindia.com/peanut-chutney/
54,Peanut Ladoo,recid_peanut_ladoo,5,min,10,min,15,min,Indian,Sweets,"Gluten Free, Vegan",Moderate,4.94,Calories 114,https://www.vegrecipesofindia.com/peanut-ladoo-recipe/
55,Peanut Rice,recid_peanut_rice,25,min,5,min,30,min,"South Indian, Tamil Nadu",Main Course,,,5.0,Calories 360,https://www.vegrecipesofindia.com/peanut-rice-recipe/
56,Peanut Thecha,recid_peanut_thecha,1,min,5,min,6,min,"Indian, Maharashtrian",Side Dish,,,5.0,Calories 90,https://www.vegrecipesofindia.com/peanut-thecha-recipe-shengdanayacha-thecha/
